"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2021","1,974.02","1,986.32","1,990.38","1,967.32","","-0.48%"
"09/16/2021","1,983.54","1,978.64","1,986.63","1,969.06","","0.01%"
"09/15/2021","1,983.39","1,974.44","1,983.73","1,968.09","","0.39%"
"09/14/2021","1,975.72","1,981.76","1,992.52","1,972.00","","-0.15%"
"09/13/2021","1,978.75","1,984.76","1,993.16","1,968.66","","-0.36%"
"09/10/2021","1,985.96","1,990.16","2,005.17","1,984.87","","0.01%"
"09/09/2021","1,985.80","1,982.56","1,995.92","1,979.75","","-0.02%"
"09/08/2021","1,986.25","2,002.67","2,004.01","1,978.38","","-0.80%"
"09/07/2021","2,002.23","2,017.45","2,019.82","2,001.37","","-0.63%"
"09/06/2021","2,014.92","2,012.25","2,015.61","2,010.88","","0.33%"
"09/03/2021","2,008.29","2,000.72","2,010.04","1,999.61","","0.54%"
"09/02/2021","1,997.56","1,986.85","2,001.74","1,986.49","","0.51%"
"09/01/2021","1,987.40","1,959.63","1,992.72","1,958.27","","1.48%"
"08/31/2021","1,958.37","1,945.91","1,961.03","1,944.84","","0.78%"
"08/30/2021","1,943.22","1,941.38","1,948.42","1,939.34","","0.36%"
"08/27/2021","1,936.30","1,913.14","1,939.81","1,911.38","","1.13%"
"08/26/2021","1,914.74","1,919.76","1,927.68","1,912.92","","-0.30%"
"08/25/2021","1,920.46","1,915.87","1,925.47","1,915.48","","0.18%"
"08/24/2021","1,917.07","1,891.95","1,918.24","1,891.04","","1.55%"
"08/23/2021","1,887.72","1,860.89","1,890.12","1,860.11","","1.88%"
"08/20/2021","1,852.89","1,839.15","1,855.02","1,835.50","","0.56%"
"08/19/2021","1,842.53","1,852.74","1,853.08","1,836.33","","-0.70%"
"08/18/2021","1,855.50","1,857.82","1,871.96","1,855.14","","0.02%"
"08/17/2021","1,855.21","1,873.84","1,875.26","1,847.57","","-1.18%"
"08/16/2021","1,877.41","1,888.94","1,889.89","1,867.18","","-1.02%"
"08/13/2021","1,896.69","1,901.91","1,904.07","1,896.53","","-0.27%"
"08/12/2021","1,901.86","1,893.80","1,903.50","1,892.04","","0.38%"
"08/11/2021","1,894.68","1,898.40","1,904.47","1,885.19","","-0.08%"
"08/10/2021","1,896.29","1,905.28","1,914.00","1,894.15","","-0.38%"
"08/09/2021","1,903.44","1,902.06","1,909.41","1,897.49","","0.13%"
