time,low,high,open,close,volume
2020-10-08,64.446,67.25,65.78,66.509,3026.36566616
2020-10-09,65.837,67.901,66.39,67.247,2866.27285826
2020-10-10,67.358,69.311,67.466,67.928,5716.68366992
2020-10-11,67.846,72.527,68.059,71.725,5232.18486315
2020-10-12,70.3,76.5,71.761,71.709,15313.67914254
2020-10-13,70.44,73.481,71.67,71.252,2994.91939934
2020-10-14,69.029,72.082,71.205,70.106,2730.97744954
2020-10-15,68.183,70.5,69.97,69.303,3361.47425405
2020-10-16,65.499,69.992,69.303,66.087,7327.57907197
2020-10-17,65.394,67.412,65.96,67.33,3215.97749934
2020-10-18,66.602,67.604,67.302,67.424,2288.20310805
2020-10-19,65.876,82.3,67.425,74.871,24405.9938568
2020-10-20,70.497,77.055,75.016,70.889,13744.84500595
2020-10-21,70.401,77.139,70.74,74.775,11920.79796988
2020-10-22,74.207,78.0,75.014,74.774,7382.5866731
2020-10-23,70.875,75.501,74.699,72.299,7671.42604805
2020-10-24,71.585,73.786,72.299,73.467,6971.48996664
2020-10-25,70.501,73.791,73.43,70.917,4993.93008105
2020-10-26,68.57,72.48,70.722,69.334,5852.38146261
2020-10-27,69.07,72.208,69.251,70.631,6172.83910961
2020-10-28,66.677,71.274,70.55,68.028,7887.5770993
2020-10-29,65.706,68.673,68.078,66.949,3970.12535031
2020-10-30,64.001,72.645,66.887,69.754,14463.29718063
2020-10-31,68.694,72.924,69.754,70.219,7125.52567333
2020-11-01,68.266,70.6,70.08,68.835,3031.23771492
2020-11-02,64.879,69.641,68.809,64.92,4996.00965317
2020-11-03,63.23,65.502,64.953,64.274,6062.93523991
2020-11-04,62.293,65.319,64.177,64.777,4857.3092797
2020-11-05,63.666,70.218,64.778,67.92,11983.55578576
2020-11-06,67.548,70.935,67.896,70.248,10007.75704082
2020-11-07,64.734,72.315,70.197,66.637,16895.30882889
2020-11-08,65.84,69.258,66.636,68.019,8066.3558936
2020-11-09,66.45,69.053,68.034,68.035,6930.39233614
2020-11-10,67.185,69.729,67.998,68.913,6023.50874971
2020-11-11,68.728,71.533,68.84,69.446,7796.64984645
2020-11-12,68.222,105.0,69.363,78.017,154488.09728707
2020-11-13,75.681,79.868,77.991,78.122,35813.39301973
2020-11-14,74.635,80.0,78.123,77.432,19499.56129411
2020-11-15,73.623,77.807,77.452,75.131,12836.74164553
2020-11-16,74.693,82.933,75.107,80.831,27647.11701174
2020-11-17,80.272,84.0,80.748,83.264,21663.03524706
2020-11-18,76.607,83.819,83.245,80.075,16202.51225899
2020-11-19,77.88,84.913,80.306,82.303,18584.19792362
2020-11-20,82.023,85.127,82.369,83.325,15768.8052378
